Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HMC;0001056603;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340010;HRP;1AC60;MISA Metals Inc;3;21680;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056604;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340020;HRP;1AC60;MISA Metals Inc;3;21760;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056605;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340020;HRP;1AC60;MISA Metals Inc;3;21780;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056607;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340020;HRP;1AC60;MISA Metals Inc;3;21660;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056609;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340020;HRP;1AC60;MISA Metals Inc;3;21680;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056610;InnerBay;4/29/2018;6/12/2018;5/7/2018;1499340010;HRP;1AC60;MISA Metals Inc;3;21620;;5/6/2018;???;HRP;;;;-39.5
HMC;0001056627;InnerBay;5/8/2018;6/12/2018;5/21/2018;9000425610010;AL;M6R03;FCA US LLC;7;21557;;5/20/2018;Intermediate HSLA;AL_NonUsibor;;;4;-30.5
HMC;0001056628;InnerBay;5/8/2018;6/12/2018;5/21/2018;9000425610010;AL;M6R03;FCA US LLC;7;21591;;5/20/2018;Intermediate HSLA;AL_NonUsibor;;;4;-30.5
HMC;0001056629;InnerBay;5/8/2018;6/12/2018;5/21/2018;9000425610010;AL;M6R03;FCA US LLC;7;21680;;5/20/2018;Intermediate HSLA;AL_NonUsibor;;;4;-30.5
HM-ALL;0001056747;InnerBay;6/10/2018;6/17/2018;6/18/2018;1530790010;HRP;M5R80;Central Steel & Wire Company;4;21546;;6/17/2018;Intermediate HSLA;HRP;;;;0.1503
HM-ALL;0001056749;InnerBay;6/10/2018;6/17/2018;6/18/2018;1530790010;HRP;M5R80;Central Steel & Wire Company;4;21537;;6/17/2018;Intermediate HSLA;HRP;;;;0.1503
HM-ALL;0001056776;InnerBay;6/7/2018;6/15/2018;6/11/2018;1506780010;HR;M6R48;American Cast Iron Pipe Company;6;39698;;6/7/2018;Heavy;HR;;;;-0.5
HM-ALL;0001056778;InnerBay;6/20/2018;6/18/2018;6/25/2018;1502860010;HR;M6R48;American Cast Iron Pipe Company;6;36605;;6/20/2018;Heavy;HR;;;;0.6578
NOK_MES Unavailable;0001056780;InnerBay;6/7/2018;6/15/2018;6/11/2018;1506780010;HR;M6R48;American Cast Iron Pipe Company;6;39771;;6/7/2018;Heavy;HR;;;;-0.5
HM-ALL;0001056783;InnerBay;5/24/2018;6/11/2018;5/28/2018;1453120140;HR;M6R71;American Cast Iron Pipe Company;7;39599;;5/24/2018;Heavy;HR;;;;-14.5
HM-ALL;0001056786;InnerBay;6/20/2018;6/18/2018;6/25/2018;1502860010;HR;M6R48;American Cast Iron Pipe Company;6;36632;;6/20/2018;Heavy;HR;;;;0.6578
HM-ALL;0001056788;InnerBay;6/20/2018;6/20/2018;6/25/2018;1502860010;HR;M6R48;American Cast Iron Pipe Company;6;36786;;6/20/2018;Heavy;HR;;;;0.6578
HMC;0001056803;InnerBay;6/14/2018;6/17/2018;6/18/2018;1527270010;HR;37AB1;NS Sales, Inc. - Metal One America;9;21564;;6/14/2018;Light Regular;HR;;;;0.3521
HM-ALL;0001056808;InnerBay;6/7/2018;6/15/2018;6/11/2018;1506780010;HR;M6R48;American Cast Iron Pipe Company;6;39707;;6/7/2018;Heavy;HR;;;;-0.5
HM-ALL;0001056819;InnerBay;6/7/2018;6/13/2018;6/11/2018;1534310040;HR;M5R80;McNeilus Steel Inc;4;21482;;6/7/2018;Heavy;HR;;;;-0.5
